UZgenMPN,LCSC Part Number
,
UZgen_C_0603_100nF_50V_X7R,C14663
UZgen_R_0603_0R,C21189
UZgen_C_0402_100nF_50V_X7R,C131394
UZgen_C_0603_10nF_50V_X7R,C100042
UZgen_C_0603_220nF_50V_X7R,C107083
UZgen_R_0603_10k,C98220
UZgen_R_0603_100R,C105588
UZgen_R_0603_33R,C108661
UZgen_R_0603_150R,C114608
UZgen_R_0603_4k7,C99782
UZgen_R_0603_2k,C105576
UZgen_R_0603_12k,C114659
UZgen_R_1206_0R,C17888
UZgen_R_0603_5k1,C125891
UZgen_R_0603_220R,C107696
UZgen_R_1206_2k2,C137167
UZgen_LED_0603_Red,C94869
UZgen_LED_0603_Green,C125101
